0,Air,icon items-21-0-0
95:12:00,Brown Stained Glass,icon items-21-95-12
95:13:00,Green Stained Glass,icon items-21-95-13
95:14:00,Red Stained Glass,icon items-21-95-14
95:15:00,Black Stained Glass,icon items-21-95-15
96,Wooden Trapdoor,icon items-21-96-0
97,Stone Monster Egg,icon items-21-97-0
97:01:00,Cobblestone Monster Egg,icon items-21-97-1
97:02:00,Stone Brick Monster Egg,icon items-21-97-2
97:03:00,Mossy Stone Brick Monster Egg,icon items-21-97-3
97:04:00,Cracked Stone Brick Monster Egg,icon items-21-97-4
97:05:00,Chiseled Stone Brick Monster Egg,icon items-21-97-5
98,Stone Bricks,icon items-21-98-0
98:01:00,Mossy Stone Bricks,icon items-21-98-1
98:02:00,Cracked Stone Bricks,icon items-21-98-2
98:03:00,Chiseled Stone Bricks,icon items-21-98-3
99,Brown Mushroom Block,icon items-21-99-0
100,Red Mushroom Block,icon items-21-100-0
101,Iron Bars,icon items-21-101-0
102,Glass Pane,icon items-21-102-0
103,Melon Block,icon items-21-103-0
104,Pumpkin Stem,icon items-21-104-0
105,Melon Stem,icon items-21-105-0
106,Vines,icon items-21-106-0
107,Oak Fence Gate,icon items-21-107-0
108,Brick Stairs,icon items-21-108-0
109,Stone Brick Stairs,icon items-21-109-0
110,Mycelium,icon items-21-110-0
111,Lily Pad,icon items-21-111-0
112,Nether Brick,icon items-21-112-0
113,Nether Brick Fence,icon items-21-113-0
114,Nether Brick Stairs,icon items-21-114-0
115,Nether Wart,icon items-21-115-0
116,Enchantment Table,icon items-21-116-0
117,Brewing Stand,icon items-21-117-0
118,Cauldron,icon items-21-118-0
119,End Portal,icon items-21-119-0
120,End Portal Frame,icon items-21-120-0
121,End Stone,icon items-21-121-0
122,Dragon Egg,icon items-21-122-0
123,Redstone Lamp (inactive),icon items-21-123-0
124,Redstone Lamp (active),icon items-21-124-0
125,Double Oak Wood Slab,icon items-21-125-0
125:01:00,Double Spruce Wood Slab,icon items-21-125-1
125:02:00,Double Birch Wood Slab,icon items-21-125-2
125:03:00,Double Jungle Wood Slab,icon items-21-125-3
125:04:00,Double Acacia Wood Slab,icon items-21-125-4
125:05:00,Double Dark Oak Wood Slab,icon items-21-125-5
126,Oak Wood Slab,icon items-21-126-0
126:01:00,Spruce Wood Slab,icon items-21-126-1
126:02:00,Birch Wood Slab,icon items-21-126-2
126:03:00,Jungle Wood Slab,icon items-21-126-3
126:04:00,Acacia Wood Slab,icon items-21-126-4
126:05:00,Dark Oak Wood Slab,icon items-21-126-5
127,Cocoa,icon items-21-127-0
128,Sandstone Stairs,icon items-21-128-0
129,Emerald Ore,icon items-21-129-0
130,Ender Chest,icon items-21-130-0
131,Tripwire Hook,icon items-21-131-0
132,Tripwire,icon items-21-132-0
133,Emerald Block,icon items-21-133-0
134,Spruce Wood Stairs,icon items-21-134-0
135,Birch Wood Stairs,icon items-21-135-0
136,Jungle Wood Stairs,icon items-21-136-0
137,Command Block,icon items-21-137-0
138,Beacon,icon items-21-138-0
139,Cobblestone Wall,icon items-21-139-0
139:01:00,Mossy Cobblestone Wall,icon items-21-139-1
140,Flower Pot,icon items-21-140-0
141,Carrots,icon items-21-141-0
142,Potatoes,icon items-21-142-0
143,Wooden Button,icon items-21-143-0
144,Mob Head,icon items-21-144-0
145,Anvil,icon items-21-145-0
146,Trapped Chest,icon items-21-146-0
147,Weighted Pressure Plate (light),icon items-21-147-0
148,Weighted Pressure Plate (heavy),icon items-21-148-0
149,Redstone Comparator (inactive),icon items-21-149-0
150,Redstone Comparator (active),icon items-21-150-0
151,Daylight Sensor,icon items-21-151-0
152,Redstone Block,icon items-21-152-0
153,Nether Quartz Ore,icon items-21-153-0
154,Hopper,icon items-21-154-0
155,Quartz Block,icon items-21-155-0
155:01:00,Chiseled Quartz Block,icon items-21-155-1
155:02:00,Pillar Quartz Block,icon items-21-155-2
156,Quartz Stairs,icon items-21-156-0
157,Activator Rail,icon items-21-157-0
158,Dropper,icon items-21-158-0
159,White Stained Clay,icon items-21-159-0
159:01:00,Orange Stained Clay,icon items-21-159-1
159:02:00,Magenta Stained Clay,icon items-21-159-2
159:03:00,Light Blue Stained Clay,icon items-21-159-3
159:04:00,Yellow Stained Clay,icon items-21-159-4
159:05:00,Lime Stained Clay,icon items-21-159-5
159:06:00,Pink Stained Clay,icon items-21-159-6
159:07:00,Gray Stained Clay,icon items-21-159-7
159:08:00,Light Gray Stained Clay,icon items-21-159-8
159:09:00,Cyan Stained Clay,icon items-21-159-9
159:10:00,Purple Stained Clay,icon items-21-159-10
159:11:00,Blue Stained Clay,icon items-21-159-11
159:12:00,Brown Stained Clay,icon items-21-159-12
159:13:00,Green Stained Clay,icon items-21-159-13
159:14:00,Red Stained Clay,icon items-21-159-14
159:15:00,Black Stained Clay,icon items-21-159-15
160,White Stained Glass Pane,icon items-21-160-0
160:01:00,Orange Stained Glass Pane,icon items-21-160-1
160:02:00,Magenta Stained Glass Pane,icon items-21-160-2
160:03:00,Light Blue Stained Glass Pane,icon items-21-160-3
160:04:00,Yellow Stained Glass Pane,icon items-21-160-4
160:05:00,Lime Stained Glass Pane,icon items-21-160-5
160:06:00,Pink Stained Glass Pane,icon items-21-160-6
160:07:00,Gray Stained Glass Pane,icon items-21-160-7
160:08:00,Light Gray Stained Glass Pane,icon items-21-160-8
160:09:00,Cyan Stained Glass Pane,icon items-21-160-9
160:10:00,Purple Stained Glass Pane,icon items-21-160-10
160:11:00,Blue Stained Glass Pane,icon items-21-160-11
160:12:00,Brown Stained Glass Pane,icon items-21-160-12
160:13:00,Green Stained Glass Pane,icon items-21-160-13
160:14:00,Red Stained Glass Pane,icon items-21-160-14
160:15:00,Black Stained Glass Pane,icon items-21-160-15
161,Acacia Leaves,icon items-21-161-0
161:01:00,Dark Oak Leaves,icon items-21-161-1
162,Acacia Wood,icon items-21-162-0
162:01:00,Dark Oak Wood,icon items-21-162-1
163,Acacia Wood Stairs,icon items-21-163-0
164,Dark Oak Wood Stairs,icon items-21-164-0
165,Slime Block,icon items-21-165-0
166,Barrier,icon items-21-166-0
167,Iron Trapdoor,icon items-21-167-0
168,Prismarine,icon items-21-168-0
168:01:00,Prismarine Bricks,icon items-21-168-1
168:02:00,Dark Prismarine,icon items-21-168-2
169,Sea Lantern,icon items-21-169-0
170,Hay Bale,icon items-21-170-0
171,White Carpet,icon items-21-171-0
171:01:00,Orange Carpet,icon items-21-171-1
171:02:00,Magenta Carpet,icon items-21-171-2
171:03:00,Light Blue Carpet,icon items-21-171-3
171:04:00,Yellow Carpet,icon items-21-171-4
171:05:00,Lime Carpet,icon items-21-171-5
171:06:00,Pink Carpet,icon items-21-171-6
171:07:00,Gray Carpet,icon items-21-171-7
171:08:00,Light Gray Carpet,icon items-21-171-8
171:09:00,Cyan Carpet,icon items-21-171-9
171:10:00,Purple Carpet,icon items-21-171-10
171:11:00,Blue Carpet,icon items-21-171-11
171:12:00,Brown Carpet,icon items-21-171-12
171:13:00,Green Carpet,icon items-21-171-13
171:14:00,Red Carpet,icon items-21-171-14
171:15:00,Black Carpet,icon items-21-171-15
172,Hardened Clay,icon items-21-172-0
173,Block of Coal,icon items-21-173-0
174,Packed Ice,icon items-21-174-0
175,Sunflower,icon items-21-175-0
175:01:00,Lilac,icon items-21-175-1
175:02:00,Double Tallgrass,icon items-21-175-2
175:03:00,Large Fern,icon items-21-175-3
175:04:00,Rose Bush,icon items-21-175-4
175:05:00,Peony,icon items-21-175-5
176,Free-standing Banner,icon items-21-176-0
177,Wall-mounted Banner,icon items-21-177-0
178,Inverted Daylight Sensor,icon items-21-178-0
179,Red Sandstone,icon items-21-179-0
179:01:00,Chiseled Red Sandstone,icon items-21-179-1
179:02:00,Smooth Red Sandstone,icon items-21-179-2
180,Red Sandstone Stairs,icon items-21-180-0
181,Double Red Sandstone Slab,icon items-21-181-0
182,Red Sandstone Slab,icon items-21-182-0
183,Spruce Fence Gate,icon items-21-183-0
184,Birch Fence Gate,icon items-21-184-0
185,Jungle Fence Gate,icon items-21-185-0
186,Dark Oak Fence Gate,icon items-21-186-0
187,Acacia Fence Gate,icon items-21-187-0
188,Spruce Fence,icon items-21-188-0
189,Birch Fence,icon items-21-189-0
190,Jungle Fence,icon items-21-190-0
191,Dark Oak Fence,icon items-21-191-0
192,Acacia Fence,icon items-21-192-0
193,Spruce Door Block,icon items-21-193-0
194,Birch Door Block,icon items-21-194-0
195,Jungle Door Block,icon items-21-195-0
196,Acacia Door Block,icon items-21-196-0
197,Dark Oak Door Block,icon items-21-197-0
256,Iron Shovel,icon items-21-256-0
257,Iron Pickaxe,icon items-21-257-0
258,Iron Axe,icon items-21-258-0
259,Flint and Steel,icon items-21-259-0
260,Apple,icon items-21-260-0
261,Bow,icon items-21-261-0
262,Arrow,icon items-21-262-0
263,Coal,icon items-21-263-0
263:01:00,Charcoal,icon items-21-263-1
264,Diamond,icon items-21-264-0
265,Iron Ingot,icon items-21-265-0
266,Gold Ingot,icon items-21-266-0
267,Iron Sword,icon items-21-267-0
268,Wooden Sword,icon items-21-268-0
269,Wooden Shovel,icon items-21-269-0
270,Wooden Pickaxe,icon items-21-270-0
271,Wooden Axe,icon items-21-271-0
272,Stone Sword,icon items-21-272-0
273,Stone Shovel,icon items-21-273-0
274,Stone Pickaxe,icon items-21-274-0
275,Stone Axe,icon items-21-275-0
276,Diamond Sword,icon items-21-276-0
277,Diamond Shovel,icon items-21-277-0
278,Diamond Pickaxe,icon items-21-278-0
279,Diamond Axe,icon items-21-279-0
280,Stick,icon items-21-280-0
281,Bowl,icon items-21-281-0
282,Mushroom Stew,icon items-21-282-0
283,Golden Sword,icon items-21-283-0
284,Golden Shovel,icon items-21-284-0
285,Golden Pickaxe,icon items-21-285-0
286,Golden Axe,icon items-21-286-0
287,String,icon items-21-287-0
288,Feather,icon items-21-288-0
289,Gunpowder,icon items-21-289-0
290,Wooden Hoe,icon items-21-290-0
291,Stone Hoe,icon items-21-291-0
292,Iron Hoe,icon items-21-292-0
293,Diamond Hoe,icon items-21-293-0
294,Golden Hoe,icon items-21-294-0
295,Wheat Seeds,icon items-21-295-0
296,Wheat,icon items-21-296-0
297,Bread,icon items-21-297-0
298,Leather Helmet,icon items-21-298-0
299,Leather Tunic,icon items-21-299-0
300,Leather Pants,icon items-21-300-0
301,Leather Boots,icon items-21-301-0
302,Chainmail Helmet,icon items-21-302-0
303,Chainmail Chestplate,icon items-21-303-0
304,Chainmail Leggings,icon items-21-304-0
305,Chainmail Boots,icon items-21-305-0
306,Iron Helmet,icon items-21-306-0
307,Iron Chestplate,icon items-21-307-0
308,Iron Leggings,icon items-21-308-0
309,Iron Boots,icon items-21-309-0
310,Diamond Helmet,icon items-21-310-0
311,Diamond Chestplate,icon items-21-311-0
312,Diamond Leggings,icon items-21-312-0
313,Diamond Boots,icon items-21-313-0
314,Golden Helmet,icon items-21-314-0
315,Golden Chestplate,icon items-21-315-0
316,Golden Leggings,icon items-21-316-0
317,Golden Boots,icon items-21-317-0
318,Flint,icon items-21-318-0
319,Raw Porkchop,icon items-21-319-0
320,Cooked Porkchop,icon items-21-320-0
321,Painting,icon items-21-321-0
322,Golden Apple,icon items-21-322-0
322:01:00,Enchanted Golden Apple,icon items-21-322-1
323,Sign,icon items-21-323-0
324,Oak Door,icon items-21-324-0
325,Bucket,icon items-21-325-0
326,Water Bucket,icon items-21-326-0
327,Lava Bucket,icon items-21-327-0
328,Minecart,icon items-21-328-0
329,Saddle,icon items-21-329-0
330,Iron Door,icon items-21-330-0
331,Redstone,icon items-21-331-0
332,Snowball,icon items-21-332-0
333,Boat,icon items-21-333-0
334,Leather,icon items-21-334-0
335,Milk Bucket,icon items-21-335-0
336,Brick,icon items-21-336-0
337,Clay,icon items-21-337-0
338,Sugar Canes,icon items-21-338-0
339,Paper,icon items-21-339-0
340,Book,icon items-21-340-0
341,Slimeball,icon items-21-341-0
342,Minecart with Chest,icon items-21-342-0
343,Minecart with Furnace,icon items-21-343-0
344,Egg,icon items-21-344-0
345,Compass,icon items-21-345-0
346,Fishing Rod,icon items-21-346-0
347,Clock,icon items-21-347-0
348,Glowstone Dust,icon items-21-348-0
349,Raw Fish,icon items-21-349-0
349:01:00,Raw Salmon,icon items-21-349-1
349:02:00,Clownfish,icon items-21-349-2
349:03:00,Pufferfish,icon items-21-349-3
350,Cooked Fish,icon items-21-350-0
350:01:00,Cooked Salmon,icon items-21-350-1
351,Ink Sack,icon items-21-351-0
351:01:00,Rose Red,icon items-21-351-1
351:02:00,Cactus Green,icon items-21-351-2
351:03:00,Coco Beans,icon items-21-351-3
351:04:00,Lapis Lazuli,icon items-21-351-4
351:05:00,Purple Dye,icon items-21-351-5
351:06:00,Cyan Dye,icon items-21-351-6
351:07:00,Light Gray Dye,icon items-21-351-7
351:08:00,Gray Dye,icon items-21-351-8
351:09:00,Pink Dye,icon items-21-351-9
351:10:00,Lime Dye,icon items-21-351-10
351:11:00,Dandelion Yellow,icon items-21-351-11
351:12:00,Light Blue Dye,icon items-21-351-12
351:13:00,Magenta Dye,icon items-21-351-13
351:14:00,Orange Dye,icon items-21-351-14
351:15:00,Bone Meal,icon items-21-351-15
352,Bone,icon items-21-352-0
353,Sugar,icon items-21-353-0
354,Cake,icon items-21-354-0
355,Bed,icon items-21-355-0
356,Redstone Repeater,icon items-21-356-0
357,Cookie,icon items-21-357-0
358,Map,icon items-21-358-0
359,Shears,icon items-21-359-0
360,Melon,icon items-21-360-0
361,Pumpkin Seeds,icon items-21-361-0
362,Melon Seeds,icon items-21-362-0
363,Raw Beef,icon items-21-363-0
364,Steak,icon items-21-364-0
365,Raw Chicken,icon items-21-365-0
366,Cooked Chicken,icon items-21-366-0
367,Rotten Flesh,icon items-21-367-0
368,Ender Pearl,icon items-21-368-0
369,Blaze Rod,icon items-21-369-0
370,Ghast Tear,icon items-21-370-0
371,Gold Nugget,icon items-21-371-0
372,Nether Wart,icon items-21-372-0
373,Potion,icon items-21-373-0
374,Glass Bottle,icon items-21-374-0
375,Spider Eye,icon items-21-375-0
376,Fermented Spider Eye,icon items-21-376-0
377,Blaze Powder,icon items-21-377-0
378,Magma Cream,icon items-21-378-0
379,Brewing Stand,icon items-21-379-0
380,Cauldron,icon items-21-380-0
381,Eye of Ender,icon items-21-381-0
382,Glistering Melon,icon items-21-382-0
383:50:00,Spawn Creeper,icon items-21-383-50
383:51:00,Spawn Skeleton,icon items-21-383-51
383:52:00,Spawn Spider,icon items-21-383-52
383:54:00,Spawn Zombie,icon items-21-383-54
383:55:00,Spawn Slime,icon items-21-383-55
383:56:00,Spawn Ghast,icon items-21-383-56
383:57:00,Spawn Pigman,icon items-21-383-57
383:58:00,Spawn Enderman,icon items-21-383-58
383:59:00,Spawn Cave Spider,icon items-21-383-59
383:60,Spawn Silverfish,icon items-21-383-60
383:61,Spawn Blaze,icon items-21-383-61
383:62,Spawn Magma Cube,icon items-21-383-62
383:65,Spawn Bat,icon items-21-383-65
383:66,Spawn Witch,icon items-21-383-66
383:67,Spawn Endermite,icon items-21-383-67
383:68,Spawn Guardian,icon items-21-383-68
383:90,Spawn Pig,icon items-21-383-90
383:91,Spawn Sheep,icon items-21-383-91
383:92,Spawn Cow,icon items-21-383-92
383:93,Spawn Chicken,icon items-21-383-93
383:94,Spawn Squid,icon items-21-383-94
383:95,Spawn Wolf,icon items-21-383-95
383:96,Spawn Mooshroom,icon items-21-383-96
383:98,Spawn Ocelot,icon items-21-383-98
383:100,Spawn Horse,icon items-21-383-100
383:101,Spawn Rabbit,icon items-21-383-101
383:120,Spawn Villager,icon items-21-383-120
384,Bottle o' Enchanting,icon items-21-384-0
385,Fire Charge,icon items-21-385-0
386,Book and Quill,icon items-21-386-0
387,Written Book,icon items-21-387-0
388,Emerald,icon items-21-388-0
389,Item Frame,icon items-21-389-0
390,Flower Pot,icon items-21-390-0
391,Carrot,icon items-21-391-0
392,Potato,icon items-21-392-0
393,Baked Potato,icon items-21-393-0
394,Poisonous Potato,icon items-21-394-0
395,Empty Map,icon items-21-395-0
396,Golden Carrot,icon items-21-396-0
397,Mob Head (Skeleton),icon items-21-397-0
397:01:00,Mob Head (Wither Skeleton),icon items-21-397-1
397:02:00,Mob Head (Zombie),icon items-21-397-2
397:03:00,Mob Head (Human),icon items-21-397-3
397:04:00,Mob Head (Creeper),icon items-21-397-4
398,Carrot on a Stick,icon items-21-398-0
399,Nether Star,icon items-21-399-0
400,Pumpkin Pie,icon items-21-400-0
401,Firework Rocket,icon items-21-401-0
402,Firework Star,icon items-21-402-0
403,Enchanted Book,icon items-21-403-0
404,Redstone Comparator,icon items-21-404-0
405,Nether Brick,icon items-21-405-0
406,Nether Quartz,icon items-21-406-0
407,Minecart with TNT,icon items-21-407-0
408,Minecart with Hopper,icon items-21-408-0
409,Prismarine Shard,icon items-21-409-0
410,Prismarine Crystals,icon items-21-410-0
411,Raw Rabbit,icon items-21-411-0
412,Cooked Rabbit,icon items-21-412-0
413,Rabbit Stew,icon items-21-413-0
414,Rabbit's Foot,icon items-21-414-0
415,Rabbit Hide,icon items-21-415-0
416,Armor Stand,icon items-21-416-0
417,Iron Horse Armor,icon items-21-417-0
418,Golden Horse Armor,icon items-21-418-0
419,Diamond Horse Armor,icon items-21-419-0
420,Lead,icon items-21-420-0
421,Name Tag,icon items-21-421-0
422,Minecart with Command Block,icon items-21-422-0
423,Raw Mutton,icon items-21-423-0
424,Cooked Mutton,icon items-21-424-0
425,Banner,icon items-21-425-0
427,Spruce Door,icon items-21-427-0
428,Birch Door,icon items-21-428-0
429,Jungle Door,icon items-21-429-0
430,Acacia Door,icon items-21-430-0
431,Dark Oak Door,icon items-21-431-0
2256,13 Disc,icon items-21-2256-0
2257,Cat Disc,icon items-21-2257-0
2258,Blocks Disc,icon items-21-2258-0
2259,Chirp Disc,icon items-21-2259-0
2260,Far Disc,icon items-21-2260-0
2261,Mall Disc,icon items-21-2261-0
2262,Mellohi Disc,icon items-21-2262-0
2263,Stal Disc,icon items-21-2263-0
2264,Strad Disc,icon items-21-2264-0
2265,Ward Disc,icon items-21-2265-0
2266,11 Disc,icon items-21-2266-0
2267,Wait Disc,icon items-21-2267-0

