
2015/09/17 01:05:44-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
2015/09/17 01:09:11-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
2015/09/17 01:09:11-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
2015/09/17 01:09:12-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
2015/09/17 01:09:12-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
2015/09/17 01:09:12-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
2015/09/17 01:09:12-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
2015/09/17 01:09:12-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
2015/09/17 01:09:12-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:12-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:12-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:12-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:13-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:13-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:13-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:13-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:13-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:13-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:13-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:13-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:13-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:13-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:13-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:13-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:13-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:14-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:14-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:14-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:14-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:14-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:14-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:14-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:14-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:14-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:14-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:14-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:14-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:14-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:09:14-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213409') AND Chat.UserReceive IN ('92213407','92213409') order by TimeSent;
2015/09/17 01:11:27-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
2015/09/17 01:11:27-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
2015/09/17 01:11:27-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
2015/09/17 01:11:28-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
2015/09/17 01:11:28-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
2015/09/17 01:11:28-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
2015/09/17 01:11:28-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
2015/09/17 01:11:28-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
2015/09/17 01:11:28-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
2015/09/17 01:11:28-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
2015/09/17 01:11:28-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
2015/09/17 01:11:28-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
2015/09/17 01:11:28-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
2015/09/17 01:11:28-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
2015/09/17 01:11:29-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
2015/09/17 01:11:29-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
2015/09/17 01:11:29-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
2015/09/17 01:11:29-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
2015/09/17 01:11:29-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
2015/09/17 01:11:29-AEST::92213407-n8857954::SELECT Chat.ChatID, Chat.UserID, D_Accounts.FirstName, Chat.Message, Chat.TimeSent FROM Chat LEFT JOIN D_Accounts ON Chat.UserID=D_Accounts.UserId WHERE Chat.UserID IN ('92213407','92213408') AND Chat.UserReceive IN ('92213407','92213408') order by TimeSent;
